,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
only,11.0,10.0,18.0,21.0,35.0,44.0,31.0,28.0,21.0,9.0,17.0,,85.0,2.0,2.0,18.0,6.0,,1.0,8.0,1.0,11.0,,9.0,4.0,12.0,1.0,6.0,1.0,3.0,5.0,5.0,,1.0,1.0,5.0,,432.0
seventeen,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
never,8.0,34.0,32.0,33.0,52.0,48.0,100.0,60.0,24.0,21.0,25.0,7.0,59.0,6.0,1.0,73.0,6.0,26.0,126.0,83.0,126.0,14.0,15.0,21.0,16.0,7.0,22.0,55.0,7.0,1.0,13.0,8.0,17.0,12.0,27.0,65.0,4.0,1254.0
thought,6.0,6.0,5.0,1.0,10.0,29.0,13.0,7.0,4.0,1.0,1.0,,,2.0,,,,,42.0,11.0,42.0,,1.0,,2.0,,2.0,1.0,,,1.0,2.0,7.0,,45.0,,,241.0
you'd,1.0,1.0,2.0,4.0,9.0,8.0,3.0,1.0,,,,,,2.0,7.0,12.0,,,,,,,,,2.0,,,,,,1.0,4.0,,,,,,57.0
act,3.0,,,1.0,1.0,,1.0,6.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,19.0,,,1.0,,,,,,,36.0
so,20.0,105.0,76.0,52.0,152.0,173.0,187.0,128.0,56.0,31.0,91.0,,90.0,59.0,16.0,42.0,32.0,13.0,19.0,83.0,19.0,3.0,16.0,111.0,23.0,4.0,7.0,108.0,22.0,,17.0,18.0,8.0,50.0,22.0,63.0,8.0,1924.0
mean,1.0,3.0,12.0,6.0,13.0,19.0,4.0,12.0,,2.0,2.0,,6.0,2.0,12.0,,3.0,,,1.0,,,4.0,,,6.0,,3.0,,1.0,5.0,,4.0,,,,,121.0
but,33.0,47.0,79.0,61.0,169.0,171.0,83.0,149.0,60.0,41.0,66.0,,77.0,37.0,20.0,31.0,39.0,4.0,28.0,43.0,28.0,7.0,30.0,3.0,13.0,22.0,4.0,136.0,22.0,8.0,34.0,35.0,26.0,34.0,34.0,47.0,12.0,1733.0
baby,15.0,71.0,47.0,32.0,116.0,95.0,70.0,83.0,87.0,51.0,9.0,,146.0,5.0,49.0,71.0,14.0,,130.0,29.0,130.0,1.0,9.0,,30.0,53.0,,4.0,2.0,,2.0,12.0,4.0,15.0,17.0,54.0,,1453.0
yes,8.0,13.0,23.0,10.0,13.0,8.0,2.0,5.0,6.0,1.0,,,2.0,16.0,13.0,,,,,11.0,,,10.0,,,5.0,,,16.0,,,,,15.0,4.0,12.0,24.0,217.0
mmm,2.0,5.0,,,,,1.0,,1.0,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,5.0,,21.0
whoa,7.0,,1.0,,7.0,20.0,1.0,13.0,,,,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,,,,59.0
darlin',1.0,4.0,1.0,,,,,,,,,,,48.0,,,,,,1.0,,,,,,,,,,,,,,15.0,,,,70.0
go,19.0,20.0,33.0,48.0,31.0,78.0,114.0,148.0,52.0,61.0,85.0,,38.0,7.0,7.0,79.0,8.0,,21.0,27.0,21.0,17.0,22.0,9.0,3.0,2.0,2.0,8.0,10.0,23.0,18.0,4.0,8.0,32.0,6.0,34.0,3.0,1098.0
hurt,1.0,10.0,3.0,8.0,12.0,,11.0,3.0,4.0,,12.0,,16.0,,,1.0,,1.0,,13.0,,,,,3.0,4.0,1.0,,3.0,,3.0,,1.0,,3.0,,,113.0
do,14.0,52.0,32.0,91.0,212.0,117.0,104.0,120.0,39.0,20.0,53.0,22.0,201.0,36.0,28.0,38.0,28.0,12.0,23.0,46.0,23.0,15.0,3.0,17.0,61.0,3.0,3.0,14.0,4.0,19.0,12.0,5.0,14.0,1.0,22.0,16.0,23.0,1543.0
will,8.0,22.0,43.0,48.0,19.0,37.0,54.0,17.0,9.0,3.0,6.0,,111.0,,10.0,9.0,6.0,3.0,28.0,7.0,28.0,12.0,11.0,36.0,,19.0,26.0,29.0,5.0,14.0,4.0,6.0,25.0,7.0,43.0,62.0,2.0,769.0
told,3.0,8.0,9.0,2.0,2.0,13.0,10.0,13.0,1.0,2.0,2.0,,2.0,3.0,,11.0,,,,2.0,,1.0,7.0,,2.0,16.0,1.0,1.0,,,3.0,,7.0,,,1.0,12.0,134.0
loved,3.0,7.0,1.0,2.0,3.0,5.0,5.0,9.0,2.0,1.0,1.0,,,6.0,,,,,,18.0,,,,,,1.0,,,,,2.0,,,80.0,,,,146.0
cared,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
"""i'll",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
almost,2.0,1.0,,,,3.0,2.0,3.0,,1.0,3.0,,,1.0,,,,4.0,,,,2.0,,,,,,19.0,,,,,2.0,,,,,43.0
anywhere,1.0,1.0,,,,,,3.0,,,,,,,,,6.0,1.0,,,,,2.0,,,,,,,,,,,,,,,14.0
verse,23.0,46.0,83.0,53.0,69.0,122.0,92.0,105.0,46.0,52.0,59.0,,119.0,30.0,52.0,43.0,55.0,21.0,20.0,85.0,20.0,6.0,42.0,67.0,25.0,52.0,5.0,53.0,27.0,52.0,15.0,4.0,55.0,17.0,21.0,46.0,68.0,1750.0
1,7.0,17.0,29.0,24.0,38.0,55.0,57.0,44.0,22.0,30.0,17.0,14.0,56.0,6.0,33.0,19.0,36.0,16.0,18.0,37.0,18.0,6.0,18.0,31.0,9.0,16.0,7.0,26.0,17.0,18.0,7.0,2.0,40.0,5.0,21.0,22.0,40.0,878.0
