,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
t-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
n-o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
ammo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
hoodrats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
cheers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
sallie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
mae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
hol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0
mind's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,6.0
4r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
squaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
francisgotheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
cam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
o’bi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
rope/rosegold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
j.lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0
"""rope""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
antydote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0
"""rosegold""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
wat’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
b.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,2.0,6.0
smoov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,7.0
sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,7.0
ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
bday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
kari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
tiggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
silkk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
shocka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
syd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
lacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
tity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
hugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
augustine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
crooklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
cheo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
organ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,4.0
synth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,5.0
hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0
pluss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,4.0
dzony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
beatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
punisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0
brenda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
jowin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
hi-hats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,9.0,,,10.0
producer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,5.0
associate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
mixedbyali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
assisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
rory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
behr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
isiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
mcclain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,4.0
vlad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
sepetov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0
warm-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
underway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
tasted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
willow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
windstorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
jumpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
starry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,6.0
eyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,6.0
vaguely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
discontented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
nightingale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
busy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
crocus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
rosebud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
writers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
gershwin/gershwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
star's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
alas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
awe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
lackaday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
dismiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
riot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
beatrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
fairfax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
cheerful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
polly-anna's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
fellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
waterfront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
starless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
patiently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
yearn!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
forgetting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
return?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
gambler's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
brief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
nickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
till',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
away?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
anxious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
cheer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,6.0
bending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
torch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
explode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
gold!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
moon!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
bliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
hearts',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
lingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
"""summer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
"may""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
descended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
pout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
claus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0
honeymoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,5.0
whoopee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
willin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
washin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
ambitious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
sews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
april,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,3.0,7.0
stompin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
pauper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
pirate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
pawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
quitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
fairly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
hectic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
apprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
francis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
several,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
hoboken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
poolroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
life-long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
ludwig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
flights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
verdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
giacomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
delivering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
dino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
sarge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
spins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0
slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,15.0,,,16.0
sinatra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0
trumpets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
drum!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
baby‘s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
pairs...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
nine!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
cello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
lefty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
musicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
scythe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
tugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
sleeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,3.0
"""remember",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
"play?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
"""bang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0
"down""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0
"sound""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,4.0
"""goodbye""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
surrounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
arcadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,28.0
forming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,56.0
warming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,49.0
storming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
derelict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
tedious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
breeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,11.0
citizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
disavow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
warming...to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
coded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,14.0
incision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
suture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
supercavitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
hallucination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
getaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,42.0
complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,3.0,,,10.0
transcend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
constellation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,11.0
fascination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
may-december,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
rearranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0
psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
spies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
elation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
quotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
civilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
settled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,8.0
aging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,,10.0
waging?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
unicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,12.0
hardcore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,12.0
fairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
frontier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
cobain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
spheres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
station?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
alderaan's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
earthquakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,6.0
vibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0
dusting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0
flaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
affecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
forgiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
hero's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
waver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
hots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
love-me-nots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
pots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
narrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
pain's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0
untouchable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0
---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0
neath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0
singbut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0
whatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,25.0
feelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,25.0
wished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0
buona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0
sera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,12.0
signorina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,11.0
buena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,9.0
napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
mediterranean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
linger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0
"goodnight""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
exotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
booze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
bombay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
lama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
toot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
flute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
rarefied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0
weatherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0
acapulco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0
s'come,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
venga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
sige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
joven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
muy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0
edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
diran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
oportunidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
thrills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,36.0,1.0,38.0
toda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,,9.0
abreme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
cura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
mi...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
me...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0
six-thirty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
yoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,8.0
"carter!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0
carter!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0
some!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
