Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
faithless?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
ageless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
b-b-b-b-b-bennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4
masterpiece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
tops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,3
serenade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
ideal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
further,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
surgical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
dissection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
plough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
vicar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
thicker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
cardinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
hymns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
pilate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
cleans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
hangs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
cubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6
clocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
calypso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
greasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
wishbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
snapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
nigga's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,2
alias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
narcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
tryin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
movin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
elementary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
stackin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
buyin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
killas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
payroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,2
comin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
pullin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
raises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
runnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
busta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
slicin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
motherfuckerss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
cocky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
treach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
slouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
jumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
stop-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
watch-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
cock-eyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
popeye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
spinach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
2-fake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
yoo-hoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
teen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
crew?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
brotha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
smack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
mother's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
mamma's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
bitch-ass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
cluk-clow-cluk-clow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
hey-ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
"""p""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
hangin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
possies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
exponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
gots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
washing-tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
riddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
buckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
packin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
glocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
dodgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
takin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
spots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,2
droppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
hoppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
rim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
1/8/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
shorter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
bigga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
trigga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
ditch-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
wets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
gody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
lays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
england,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4
quit-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
love-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
piano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,8
tupelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
englandx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
bloody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
cortina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
'homo',,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
ventriloquists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8
witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
daydreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
decks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
ful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
identikit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
tailor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,6
spectre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9
airplane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
windowpane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
thicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
bends?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
'60s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,12
gunboat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
marines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
bodysnatchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
fishes/arpeggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
faust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
arp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
reckoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
jigsaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
videotape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8
chimney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
car?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8
=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
backdrifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
gloaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
punchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
myxomatosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
scatterbrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4
ambush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
devils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
bearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
strain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
beady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
immerse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
magpie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
feral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
lotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
codex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
separator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3
receiving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
cynical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
twentieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
headshrinkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
belisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
beacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6
toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
trained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
dispossessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
host,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
tricked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
second-guessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
kids?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
bridge?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
motorcycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
funeral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
dap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
claimers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
laps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
instagram's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
dealin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,4
yet!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
saints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
sinners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
bosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
wins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,3
losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
credentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
blamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
sexted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"over""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
flexed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"""y'all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"together""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
ego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
trippin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"""good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
m.a.a.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8
sherane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
a.k.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
splinter’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
featuring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,20
poetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
eiht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,9,,,13
"""mortal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
"man""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
conflicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
misusing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
abusing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,4
resentment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
lucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
survivor’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
apartheid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
mine's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
doesn’t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
caused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
unify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
stacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
barthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
oh-whoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
"""mean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,11
"streets""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,11
nipsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
hussle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
prolific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
kiddin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
buildin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
hunnit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"""bulletproof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"soul""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
jewelers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
holler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
cubans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
"low""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
cancun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
docked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
tulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
mayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
ruins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
cruisin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
cultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
rival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
lucien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
vertically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"""hussle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
curbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
detectives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
it's...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
stretch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
mojave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
nip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
straighten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
dresser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
flick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
matchin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
ricos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
til',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
chess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
thirty-eight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
see-saw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
mil's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
handled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"challenge""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
hendrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
percocets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,18
'nother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,3
graduated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
thirty-three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
biscayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
boostin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
adrenaline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
four-door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
escomoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
pancho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
tarzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
dividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
"""grow""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
kung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
fu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
rodeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
unveil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
snuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
vent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
4-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
albums?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
braids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
tv?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,2,,6
'fess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
debts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
threats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
potion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2
convulsions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
