Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
ever,6,7,8,12,31,26,40,42,14,1,25,,3,,1,4,13,,,11,,,6,,2,15,,12,2,,3,3,7,,1,6,,301
pre-chorus,,2,4,19,26,42,59,41,17,25,,,,,15,17,12,10,20,,20,2,,29,4,,,3,6,,,,33,,4,2,36,448
leave,1,10,5,2,16,23,14,41,18,2,18,,14,,1,6,3,,21,8,21,3,,,,1,,14,,,2,1,,,18,1,6,270
had,1,14,12,17,27,10,24,40,6,6,7,,25,2,,13,1,1,,20,,28,20,,,4,1,13,8,,5,4,,,5,,14,328
me?,,4,2,,2,13,12,40,1,10,1,,8,,3,,,,,,,,,,,,,,1,,,1,,,,2,,100
am,,12,26,23,16,17,9,40,1,8,,,32,4,3,7,24,,1,26,1,,1,10,9,29,2,1,13,8,8,3,2,,28,12,6,382
lose,1,3,,6,4,11,7,40,,9,7,,,8,,1,,,8,6,8,,,,,,,20,,,1,,,,10,6,,156
gon',,,,7,13,49,4,40,15,1,2,,,,1,9,,,,,,,,,,1,,6,,,10,,,,108,42,,308
as,2,19,25,11,45,33,29,39,22,5,19,,6,10,6,180,13,5,29,19,29,10,21,17,4,20,19,2,,9,6,28,,,2,16,6,706
girl,13,9,27,32,41,86,24,39,15,5,3,,42,,14,76,1,1,14,15,14,,6,,54,7,1,47,,,,3,4,,27,,,620
could,11,10,22,12,36,33,19,39,9,35,4,,49,4,126,50,,6,,13,,8,13,,7,5,,36,3,13,,3,2,,,,3,571
still,6,5,17,10,9,50,18,39,6,4,18,,14,,1,12,25,,12,5,12,,,1,,3,,40,3,,3,2,,,12,,,327
hit,,,6,5,9,7,11,39,8,18,1,,2,,2,12,,,10,1,10,,3,12,,,3,4,2,,3,3,,,,6,5,182
drug,,,,,6,6,,39,3,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,57
come,6,24,25,42,65,64,81,38,14,37,57,,259,5,13,24,,11,260,12,260,,16,21,9,6,17,4,2,5,1,24,28,23,4,42,16,1515
at,6,21,21,24,58,34,24,38,17,24,54,22,17,10,6,21,33,1,21,19,21,6,18,30,8,11,6,42,24,24,20,6,6,3,106,,21,823
off,,5,9,10,15,11,15,38,8,6,35,,2,,2,4,,,,4,,2,7,,,,1,10,6,,16,,10,2,1,,3,222
tell,,13,10,8,43,59,21,37,22,15,1,,36,10,11,21,3,,11,33,11,,2,8,,12,6,24,2,,13,6,,8,8,10,,464
tired,1,4,8,4,1,,,37,2,,,,,,1,3,,,,,,7,25,,,,,,2,,1,,1,,,6,,103
her,10,37,33,27,79,26,28,36,18,14,3,7,9,,,24,,2,70,12,70,,6,7,6,15,1,23,3,,8,4,,47,1,,12,638
home,,10,50,10,17,4,66,35,2,4,3,,23,6,,14,4,,,2,,1,6,,2,6,,,,,3,1,,30,1,20,3,323
put,6,3,5,6,7,31,36,35,14,,18,,5,20,1,25,,5,21,6,21,2,14,,11,1,2,5,,1,7,3,,,1,2,3,317
even,1,4,1,1,19,17,44,34,11,7,5,,5,3,1,6,1,,134,,134,,4,,,7,1,40,,,2,4,1,,6,10,,503
give,11,5,42,12,18,30,29,34,14,9,4,,41,16,17,9,6,2,18,5,18,,3,,,2,7,24,1,4,3,,,10,33,2,,429
some,4,7,55,31,19,22,21,34,24,4,13,,38,18,11,6,,,1,9,1,,6,,8,5,1,30,28,,7,2,,17,1,,5,428
sex,,,,,4,1,2,34,1,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,45
drake,,,,,,,,34,26,1,,,,,,,,,,,,,,,,,,733,,,4,,,,3,,,801
down,19,25,47,36,33,60,84,33,33,17,10,,38,61,19,15,9,35,,9,,10,33,5,12,20,4,40,3,5,11,13,9,21,2,18,30,819
feel,3,13,21,27,49,37,25,33,11,13,23,,21,17,5,7,12,6,,12,,9,33,15,8,2,,57,8,2,,2,7,15,6,6,8,513
said,12,14,10,7,41,24,11,33,1,10,18,22,6,,5,6,6,2,,3,,,7,,10,2,1,3,,,6,1,,1,1,3,18,284
connected,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
life,7,18,31,24,46,26,40,32,8,46,14,,20,20,36,35,18,1,1,7,1,,,35,14,13,12,8,2,2,28,10,5,,29,14,12,615
look,3,8,5,10,25,19,19,32,20,3,17,,15,,,12,8,10,,10,,3,6,,8,,2,4,12,,4,,2,,4,,15,276
too,16,8,9,19,38,20,37,31,17,15,6,,25,17,1,4,2,2,36,3,36,,9,23,3,4,1,5,18,2,1,5,47,4,3,36,10,513
right,5,14,31,20,17,76,35,31,15,22,42,,26,5,9,32,10,3,2,32,2,7,63,6,9,15,7,30,4,,6,4,30,,8,6,10,634
really,9,3,34,11,54,13,4,31,1,7,3,,12,51,3,1,9,,,3,,,8,,,4,,41,7,6,4,2,,,1,6,,328
mama,,,2,,1,1,2,31,8,8,4,,12,10,7,15,,,,,,,7,,,1,,4,,,4,,,,3,,3,123
babe,,,2,8,6,7,,31,1,11,,,,,1,9,1,,2,,2,,,,,,,,,,,,,,6,,1,88
