,count
stranger,12
normani,3
escape,8
burn,1
points,1
return,1
breeze,1
allow,1
breathe,1
closed,5
windows,3
fought,2
stronger,2
dreams,5
alarm,2
edge,1
fierce,1
breathing,1
slower,1
cautious,1
claiming,1
you’re,2
lady,2
crazy?,1
dumb,10
bucks,7
d-damn,1
gon’,1
‘bout,1
daily,1
tech,1
flexin',1
you’d,1
star,1
goals,1
checklist,1
question,1
message,1
couldn't,2
texting,1
demon,1
cold,6
fiendin’,1
coupe,15
dropping,1
clique,1
playing,3
part,4
4,3
can’t,6
wavy,1
sipping,2
purple,1
'til,6
lazy,1
throwback,1
ayisyen,1
bop,1
sweat,3
that?,3
don’t,12
truth,2
depart,3
skit,1
rocky,1
balboa,1
adonis,1
creed,1
fight?,2
donnie,1
they're,1
fighting,3
lose,40
fighter,1
dangerous!,1
eearz,8
work,15
rumble,6
site,2
juicy,3
j,3
back?,1
nobody,4
holdin',1
right?,1
momma,3
needed,2
bills,2
lights,9
sleepless,1
spike,1
licks,7
enticing,1
such,2
dice,5
police,1
rights,1
wall,1
vice,1
mike,5
saved,1
tyson,1
steady,1
strike,1
boom,4
mean?,1
everyday,3
to-,1
gucci,8
mane,2
evil,1
genius,1
sleep,2
woke,1
startin',1
passed,1
"""who",1
diane,1
"monique""",1
"me""",1
chillin',1
v.i.p,1
frigid,1
dig,1
brave,1
page,1
r.i.p,1
hum,1
hummingbird,1
sting,1
bee,1
drum,2
mute,1
kick,5
sprung,1
swung,1
project,3
pat,1
weak,2
yo',3
gon'-,1
yg,4
bottoms,1
homies,10
problem,1
chest,1
lived,1
ear,1
that're,1
killer,1
gorilla,1
stole,1
party,2
spark,2
program,3
spit,6
pipe,4
em',2
"""zilla""",1
leanin',1
pillows,1
sight,1
drummer,1
dipset,1
height,1
ice,6
sounding,1
pump,4
gorillas,3
knockin',2
doors,2
hinge,1
gloves,1
zone,1
homocide,1
watered,2
scoob,1
seriously,1
doubt,1
trick,1
rerouted,1
problem?,1
fool,6
announcement,2
5,1
quavo,1
knuckle,4
upper,1
eye,1
stripes,5
bow!,3
would,14
coulda,8
combos,2
piece,1
canvas,1
crowd,3
saddest,1
woo,6
imagine,1
view,2
rematch,1
like-,1
shut,4
da,3
fuc,1
hoe,10
drippin',4
earn,1
bussin',1
uppin',1
jungle,1
jumanji,1
apes,1
ac,1
combs,1
ball,1
mothafucker,1
flat,1
floyd,1
gotta-,1
crack,1
houses,1
burned,1
flying,1
silence,1
wild,1
aye,3
estate,1
lobster,1
steak,1
henny,4
chase,1
that’s,4
laid,1
benches,3
binges,3
plenty,5
pouring,3
envy,2
moneyup,1
princely,1
halls,1
gutter,1
fours,1
mud,2
bottom,1
ahead,1
finish,2
today,1
tomorrow,1
awards,1
between,1
progress,1
borderline,1
poor,1
crossing,1
borders,1
blast,1
famous,8
figure,2
adding,1
khalid,18
empress,12
llévame,72
ciudad,16
del,16
sol,16
donde,16
dejé,16
mi,21
corazón,16
llévamelo,16
solo,8
en,10
la,12
wanting,5
calling,3
onto,2
care,2
lead,2
sólo,4
así,4
